gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
1920797866	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/17218247	Plantae	Tracheophyta	Pinopsida	Pinales	Taxaceae	Taxus	Taxus globosa		SPECIES	Taxus globosa Schltdl.	Taxus globosa		MX		Nuevo León	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	25.190695	-100.056695	313.0						2018-10-05T11:34:06	5	10	2018	5284554	5284554	HUMAN_OBSERVATION	iNaturalist	Observations	17218247		Silvino Eduardo	2018-10-05T16:43:52	CC_BY_NC_4_0	Silvino Eduardo	Silvino Eduardo			2026-04-18T08:20:00.070Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
1920795907	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/17161513	Plantae	Tracheophyta	Pinopsida	Pinales	Taxaceae	Taxus	Taxus globosa		SPECIES	Taxus globosa Schltdl.	Taxus globosa		MX		Nuevo León	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	25.46959	-100.263304	11.0						2012-12-10	10	12	2012	5284554	5284554	HUMAN_OBSERVATION	iNaturalist	Observations	17161513		Bernardo Marino Maldonado	2018-10-03T17:22:09	CC_BY_NC_4_0	Bernardo Marino Maldonado	Bernardo Marino Maldonado			2026-04-18T08:19:59.066Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
1914248626	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/16987199	Plantae	Tracheophyta	Pinopsida	Pinales	Taxaceae	Taxus	Taxus globosa		SPECIES	Taxus globosa Schltdl.	Taxus globosa		MX		Hidalgo	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	20.203773	-98.719521							2018-09-24T15:01	24	9	2018	5284554	5284554	HUMAN_OBSERVATION	iNaturalist	Observations	16987199		Hermann Jesús Cortés Blobaum	2018-09-28T04:53:55	CC_BY_NC_4_0	Hermann Jesús Cortés Blobaum	Hermann Jesús Cortés Blobaum			2026-04-18T10:07:20.306Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
1914191889	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/12785612	Plantae	Tracheophyta	Pinopsida	Pinales	Taxaceae	Taxus	Taxus globosa		SPECIES	Taxus globosa Schltdl.	Taxus globosa		MX		Oaxaca	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	17.403025	-96.503083	10.0						2018-05-24T12:40:32	24	5	2018	5284554	5284554	HUMAN_OBSERVATION	iNaturalist	Observations	12785612		René Emmanuel Ramírez Vargas	2018-05-25T00:39:33	CC_BY_NC_4_0	René Emmanuel Ramírez Vargas	René Emmanuel Ramírez Vargas			2026-04-18T06:48:13.942Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
1850914069	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/13142902	Plantae	Tracheophyta	Pinopsida	Pinales	Taxaceae	Taxus	Taxus globosa		SPECIES	Taxus globosa Schltdl.	Taxus globosa		MX		Veracruz	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	19.530903	-97.058532	31.0						2018-05-30T11:59	30	5	2018	5284554	5284554	HUMAN_OBSERVATION	iNaturalist	Observations	13142902		pronaturaveracruz_zonastempladas	2018-06-05T14:40:59	CC_BY_NC_4_0	pronaturaveracruz_zonastempladas	pronaturaveracruz_zonastempladas			2026-04-18T06:48:16.573Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
1850913944	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/13143459	Plantae	Tracheophyta	Pinopsida	Pinales	Taxaceae	Taxus	Taxus globosa		SPECIES	Taxus globosa Schltdl.	Taxus globosa		MX		Veracruz	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	19.538193	-97.043803	122.0						2018-05-30T13:37	30	5	2018	5284554	5284554	HUMAN_OBSERVATION	iNaturalist	Observations	13143459		pronaturaveracruz_zonastempladas	2018-06-05T14:57:21	CC_BY_NC_4_0	pronaturaveracruz_zonastempladas	pronaturaveracruz_zonastempladas			2026-04-18T06:48:17.242Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
1847539238	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/12536756	Plantae	Tracheophyta	Pinopsida	Pinales	Taxaceae	Taxus	Taxus globosa		SPECIES	Taxus globosa Schltdl.	Taxus globosa		MX		Nuevo León	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	25.261444	-100.160165	31.0						2016-09-26T00:17	26	9	2016	5284554	5284554	HUMAN_OBSERVATION	iNaturalist	Observations	12536756		Antonio Sarabia	2018-05-17T05:19:42	CC_BY_NC_4_0	Antonio Sarabia	Antonio Sarabia			2026-04-18T06:48:12.909Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
1847536768	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/12527975	Plantae	Tracheophyta	Pinopsida	Pinales	Taxaceae	Taxus	Taxus globosa		SPECIES	Taxus globosa Schltdl.	Taxus globosa		MX		Veracruz	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	19.494589	-97.090909	122.0						2018-05-15T13:42	15	5	2018	5284554	5284554	HUMAN_OBSERVATION	iNaturalist	Observations	12527975		pronaturaveracruz_zonastempladas	2018-05-16T23:09:47	CC_BY_NC_4_0	pronaturaveracruz_zonastempladas	pronaturaveracruz_zonastempladas			2026-04-18T06:48:13.798Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
1847536739	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/12527844	Plantae	Tracheophyta	Pinopsida	Pinales	Taxaceae	Taxus	Taxus globosa		SPECIES	Taxus globosa Schltdl.	Taxus globosa		MX		Veracruz	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	19.494419	-97.088312	387.0						2018-05-15T11:39	15	5	2018	5284554	5284554	HUMAN_OBSERVATION	iNaturalist	Observations	12527844		pronaturaveracruz_zonastempladas	2018-05-16T23:02:57	CC_BY_NC_4_0	pronaturaveracruz_zonastempladas	pronaturaveracruz_zonastempladas			2026-04-18T08:19:14.325Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
1847463214	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/12235839	Plantae	Tracheophyta	Pinopsida	Pinales	Taxaceae	Taxus	Taxus globosa		SPECIES	Taxus globosa Schltdl.	Taxus globosa		MX		Veracruz	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	19.528932	-97.074037	61.0						2018-05-02T13:24	2	5	2018	5284554	5284554	HUMAN_OBSERVATION	iNaturalist	Observations	12235839		pronaturaveracruz_zonastempladas	2018-05-07T16:38:42	CC_BY_NC_4_0	pronaturaveracruz_zonastempladas	pronaturaveracruz_zonastempladas			2026-04-18T08:19:12.254Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
